respID,raceAfricanAmOrBlack,raceAsian,raceWhite,raceIndian,raceMiddleEast,raceLatino,raceNativeAm,racePacificIsl,raceOther,whereLive,religion,religionOther
R_00Sng7e8OaLphrr,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_02NzsezhdJPa2dz,,,,,,,,,,,,
R_0kcjiBFL6meWxuV,,Asian,European/Causasian,,,,,,,Suburb,Jewish,
R_0rFRbF0pCz2lA2J,,,,,,,,,,,,
R_0umDsfIbi5gFGzn,,,,,,,,,,,,
R_0v7PUeXd91ujw3L,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_10Peyal7mRP7xFe,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_10YOOApO4fVGAkE,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_115f9l6k6RcGDtM,,,European/Causasian,,,,,,,City,Spiritual practice not associated with a specific religion,
R_11cJa1TV6JT3Tn4,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_11hWZQU2YILK0bS,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_11hZYW42n8zZ36d,African American or Black,,,,,,,,,City,Muslim,
R_128Sh2DVxaiL3S3,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_129n6RrM0CQOrUl,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_12a560vZkV1uWLL,,,European/Causasian,,,,,,,City,Jewish,
R_1AjaJFskZj73Bzb,,,,,,,,,,,,
R_1BPDYZZXdAOKTCy,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_1C2uDUGZBBQDd14,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_1CdcT1JCyioNgrE,African American or Black,,,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_1CEgv3pBqUpyHRM,,,European/Causasian,,,,,,,Suburb,Hindu,
R_1CHqA4BjbFdbwsp,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_1Cjx4iAMJlvevWv,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_1CkbkEMUv9B9C7n,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_1CkEBdnYZw7tNdl,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_1CpetLIdLWtG2o4,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_1Cw4fPU0WsTGsrg,,,,,,,,,,,,
R_1Cx3U0xiacADTOO,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_1dcXLBhPuktnCJ4,,,,,,,,,,,,
R_1DHbyitDNwbxwHi,,,European/Causasian,,,,Native American,,,Rural area,Spiritual practice not associated with a specific religion,
R_1dMhNURAfbcaImB,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_1dsGAEtdqoHQ7QI,African American or Black,,,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_1DSy3NSLX4bFwZv,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_1DtJsf4qINlDrYS,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_1DZ2BOvB5cETN8I,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
