respID,stateChar,stateNum,whereLive,religion,religionOther,raceAfricanAmOrBlack,raceAsian,raceWhite,raceIndian,raceMiddleEast,raceLatino,raceNativeAm,racePacificIsl,raceOther
R_1IjcoSXCbWXxs02,,,,,,,,,,,,,,
R_RD2vEkuE0jNFAXf,,,,,,,,,,,,,,
R_3kH9svrK6ZVOPst,VA,54,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_28XL44Fx7I7xGiQ,CA,6,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_28Gn51xdxLsIrHN,KS,19,Suburb,Other,Atheist,,,European/Causasian,,,,,,
R_28OKZtKYUHxZKNi,MD,23,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_zdN6kTPd3vcZ7RD,IA,18,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_302lTUSJoPUw31r,CA,6,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_3VH2C44mViw8gOR,NM,36,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,Native American,,
R_1di9lSo7Zjp1Ry5,NY,37,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_2P6Yy9FyFPIjtTe,ID,15,City,Spiritual practice not associated with a specific religion,,,,European/Causasian,,,,,,
R_3HYs71Vg7RVggv2,IL,16,Suburb,"Christian (Catholic, Protestant, etc.)",,,,,Indian,,,,,
R_3hlTFhROrwwSTig,PA,45,Rural area,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_1LniAaXYW5MdskZ,FL,11,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_12PTnowV0QPnFoh,IL,16,City,Do not actively practice a particular religion,,,Asian,,,,,,,
R_qQ7M2B4afdp5Mt3,FL,11,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_3hyFxUONsKCeGkf,NY,37,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_UXWR89gmFUBUhlD,PA,45,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,"Latino, Hispanic, or Spanish",,,
R_Rwu62quzGz04SFb,MA,25,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_23UAaCRS8EKa6vc,CA,6,City,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3M6cIspq15cWRjU,MO,30,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_3HvuzgUgoFlCORB,PA,45,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_3NWMb8vib24WglX,WI,58,Suburb,"Christian (Catholic, Protestant, etc.)",,,,European/Causasian,,,,,,
R_tQ9P0NQAE591hcZ,WA,56,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_2wN9hzt9KPDvoED,TX,51,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_2cj9iprEfEqV8aQ,IA,18,Suburb,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
R_305zI6uNr99X9Mv,NY,37,City,Do not actively practice a particular religion,,,,European/Causasian,,,,,,
